title,sell_price,orig_price,rating,num_ratings_reviews
SAMSUNG 220 L Direct Cool Single Door 4 Star Refrigerator  with Curd Maestro,"₹19,490","₹25,990",4.6,249 Ratings & 26 Reviews
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,540","₹15,600",4.3,"37,717 Ratings & 3,488 Reviews"
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹15,250","₹18,400",4.4,"24,583 Ratings & 2,715 Reviews"
,,,,
Haier 195 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,790","₹29,100",4.4,275 Ratings & 46 Reviews
Whirlpool 340 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹34,990","₹45,250",4.2,127 Ratings & 13 Reviews
LG 215 L Direct Cool Single Door 3 Star Refrigerator  with Fast Ice Making,"₹18,290","₹24,999",4.7,41 Ratings & 3 Reviews
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹25,190","₹28,990",4.4,"7,014 Ratings & 703 Reviews"
Whirlpool 245 L Frost Free Double Door 3 Star Refrigerator,"₹24,890","₹29,700",4.2,369 Ratings & 45 Reviews
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹20,990","₹21,900",4.3,"5,200 Ratings & 561 Reviews"
Haier 256 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,490","₹40,400",4.4,"3,786 Ratings & 360 Reviews"
Haier 258 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹24,490","₹39,600",4.4,"7,642 Ratings & 805 Reviews"
SAMSUNG 324 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹29,990","₹41,990",4.4,"4,955 Ratings & 602 Reviews"
SAMSUNG 700 L Frost Free Side by Side Refrigerator,"₹82,440","₹89,590",4.4,"1,060 Ratings & 104 Reviews"
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,590","₹22,990",4.4,"8,128 Ratings & 960 Reviews"
SAMSUNG 244 L Frost Free Double Door 3 Star Refrigerator  with Curd Maestro,"₹26,490","₹31,990",4.4,"7,014 Ratings & 703 Reviews"
Godrej 255 L Frost Free Double Door 2 Star Refrigerator,"₹21,990","₹27,000",4.3,724 Ratings & 78 Reviews
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,540","₹15,900",4.3,"37,717 Ratings & 3,488 Reviews"
