title,sell_price,orig_price,rating,num_ratings_reviews
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹21,999","₹29,999",4.3,"37,088 Ratings & 3,251 Reviews"
"Dyanora 100 cm (40 inch) HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...","₹13,999","₹23,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,739","₹18,999",4.1,"3,188 Ratings & 421 Reviews"
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹8,999","₹36,990",4.2,"17,552 Ratings & 2,702 Reviews"
TOSHIBA C350LP 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and REGZA En...,"₹26,990","₹34,990",4.3,129 Ratings & 34 Reviews
Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999","₹43,999",4.2,436 Ratings & 76 Reviews
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio ...,"₹28,999","₹42,999",4.4,"2,667 Ratings & 256 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,499","₹15,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,188 Ratings & 421 Reviews"
,,,,
,,,,
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,188 Ratings & 421 Reviews"
Compaq 80 cm (32 inch) HD Ready LED Smart Coolita TV,"₹9,999","₹17,999",4,82 Ratings & 5 Reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8,"12,551 Ratings & 1,803 Reviews"
MarQ by Flipkart Innoview 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,999","₹34,999",4.3,"5,630 Ratings & 1,036 Reviews"
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"₹39,999","₹54,999",4.4,"2,667 Ratings & 256 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,936","₹10,999",4.1,"3,188 Ratings & 421 Reviews"
TOSHIBA M550LP Series 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Bass Woofer and REGZA E...,"₹46,990","₹79,990",4.5,157 Ratings & 35 Reviews
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"12,551 Ratings & 1,803 Reviews"
MOTOROLA Revou 2 1.02 m (40 inch) Full HD LED Smart Android TV with Sound by boAt,"₹20,999","₹30,000",4.3,"1,317 Ratings & 200 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,739","₹18,999",4.1,"3,188 Ratings & 421 Reviews"
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8,"12,551 Ratings & 1,803 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,999","₹29,999",4.2,16 Ratings & 3 Reviews
SONY Bravia 108 cm (43 inch) Full HD LED Smart Linux based TV,"₹36,990","₹44,900",4.5,214 Ratings & 30 Reviews
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV,"₹7,999","₹19,000",4,139 Ratings & 16 Reviews
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹10,499","₹14,499",4.3,"84,253 Ratings & 17,721 Reviews"
iFFALCON by TCL F53 100 cm (40 inch) Full HD LED Smart Android TV with Android 11,"₹15,999","₹36,990",4.2,715 Ratings & 85 Reviews
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,699","₹12,499",4.1,"3,188 Ratings & 421 Reviews"
Mi 5A Pro 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),"₹16,999","₹25,999",4.3,124 Ratings & 11 Reviews
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹10,499","₹18,499",4.4,"35,668 Ratings & 7,884 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,499","₹15,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 100 cm (40 inch) HD Ready LED Smart Android Based TV with Noise Reduction,Android 9.0,Google V...","₹13,999","₹23,999",4.1,"3,188 Ratings & 421 Reviews"
,,,,
,,,,
iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹23,999","₹49,990",4.3,93 Ratings & 14 Reviews
Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999","₹42,999",4.3,"13,561 Ratings & 3,183 Reviews"
Thomson 9R PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹20,999","₹33,999",4.3,"13,561 Ratings & 3,183 Reviews"
Sansui 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black) (...,"₹33,569","₹56,790",4.4,443 Ratings & 76 Reviews
Nokia 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹27,999","₹40,000",4.3,"1,229 Ratings & 163 Reviews"
realme 80 cm (32 inch) Full HD LED Smart Android TV,"₹16,499","₹23,999",4.2,"9,208 Ratings & 1,238 Reviews"
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹27,999","₹32,999",4.3,"31,503 Ratings & 3,605 Reviews"
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,"₹19,999",,4.4,"3,20,330 Ratings & 30,471 Reviews"
OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹61,999","₹69,999",4.4,"13,015 Ratings & 1,369 Reviews"
Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,"₹33,999","₹54,999",4.5,"27,566 Ratings & 7,169 Reviews"
Infinix X3 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999","₹39,999",4.2,302 Ratings & 58 Reviews
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹45,999","₹69,900",4.6,"2,275 Ratings & 457 Reviews"
Candes 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹20,390","₹48,490",4.2,38 Ratings & 6 Reviews
Compaq 80 cm (32 inch) HD Ready LED Smart Android TV,"₹12,999","₹21,999",4.1,252 Ratings & 58 Reviews
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹16,499","₹19,999",4.3,"37,088 Ratings & 3,251 Reviews"
Vu GloLED 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹57,999","₹85,000",4.3,"4,053 Ratings & 685 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,699","₹12,499",4.1,"3,188 Ratings & 421 Reviews"
iFFALCON by TCL H72 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV Hands Free Voice Control & Wo...,"₹39,999","₹1,13,990",4.3,262 Ratings & 49 Reviews
TCL S65A Series 79.97 cm (32 inch) HD Ready LED Smart Android TV,"₹12,990","₹29,990",4.3,752 Ratings & 92 Reviews
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV with Alpha5 Gen5 AI Processor | (Ceramic Black) (2022 M...,"₹18,490","₹23,990",4.4,"1,177 Ratings & 161 Reviews"
Compaq 102 cm (40 inch) Full HD LED Smart Android TV,"₹17,999","₹29,999",4.3,102 Ratings & 23 Reviews
Blaupunkt Cybersound 106 cm (42 inch) Full HD LED Smart Android TV with 40W Speaker,"₹18,999","₹29,999",4.4,"9,130 Ratings & 2,044 Reviews"
LG 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹37,990","₹59,990",4.5,"1,626 Ratings & 231 Reviews"
MOTOROLA Revou 2 80 cm (32 inch) HD Ready LED Smart Android TV with Sound by boAt,"₹14,999","₹20,000",4.3,"1,317 Ratings & 200 Reviews"
,,,,
,,,,
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"12,551 Ratings & 1,803 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"12,551 Ratings & 1,803 Reviews"
Hisense A6GE Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and Dolby At...,"₹24,990","₹36,990",4.3,"1,418 Ratings & 216 Reviews"
iFFALCON by TCL F52 108 cm (43 inch) Full HD LED Smart Android TV,"₹18,999","₹44,900",4.1,69 Ratings & 4 Reviews
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,999","₹29,999",4.2,16 Ratings & 3 Reviews
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,699","₹12,499",4.1,"3,188 Ratings & 421 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Linux based TV,"₹12,999","₹17,990",3.9,96 Ratings & 3 Reviews
LG UQ7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹46,990","₹71,990",4.4,"10,392 Ratings & 1,270 Reviews"
Hyundai 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹11,990","₹23,990",4.2,51 Ratings & 8 Reviews
KODAK CA Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹29,999","₹47,999",4.4,"19,116 Ratings & 5,692 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,936","₹10,999",4.1,"3,188 Ratings & 421 Reviews"
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹41,990","₹68,400",4.3,"10,773 Ratings & 1,099 Reviews"
Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹8,499","₹14,990",4.1,"57,610 Ratings & 8,275 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,739","₹18,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,499","₹15,999",4.1,"3,188 Ratings & 421 Reviews"
SAMSUNG Crystal 4K Pro 146 cm (58 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹49,490","₹80,900",4.4,"13,388 Ratings & 1,453 Reviews"
Nokia 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999","₹20,000",4.3,"1,413 Ratings & 254 Reviews"
iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"₹35,999","₹73,990",4.3,93 Ratings & 14 Reviews
Blaupunkt Cybersound 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹34,999","₹55,999",4.6,"4,440 Ratings & 1,143 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,188 Ratings & 421 Reviews"
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,188 Ratings & 421 Reviews"
Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,"₹40,999","₹59,999",4.3,"48,263 Ratings & 4,414 Reviews"
LG 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹99,999","₹1,39,990",4.1,159 Ratings & 32 Reviews
,,,,
,,,,
